slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
urweilerhof,Urweilerhof,St. Wendel,Lácteos y quesos,,"Buchwaldstraße 19, 66606 St. Wendel-Leitersweiler","Granja ecológica con vacas lecheras y avicultura campera. Venta directa de leche fresca propia, huevos bio y hortalizas de huerta en dispensador 24/7.",,+49685182378,info@urlaubshof-saarland.de,https://urlaubshof-saarland.de,,,,49.4926106,7.2083843,,pendiente,sí,ecommerce,,2204,es,,,,,,de,westdeutschland,saarland,,,,,,
metzgerei-petermann,Metzgerei Petermann,St. Ingbert,Carne,,"Hauptstraße 65, 66386 St. Ingbert-Oberwürzbach",Carnicería artesana con cámaras de maduración Dry-Aged y obrador propio. Embutidos tradicionales (*Lyoner* artesano) con ganado de pastos comarcales.,,+4968946770,info@metzgerei-petermann.com,https://www.metzgerei-petermann.com,,,,49.2423708,7.1460164,,,no comprobado,,,1731,es,,,,,,de,westdeutschland,saarland,,,,,,
angushof-boert,Angushof Boßert,Freisen,Carne,,"Hauptstraße 7, 66629 Freisen-Reitscheid","Ganadería familiar en 4ª generación con vacas nodrizas Black Angus y obrador de carnicería, despiece y maduración cárnica en la propia finca.",,+491705819382,,https://www.angushof-bossert.de,,,,49.5492700,7.2520100,,pendiente,sí,ecommerce,,62,es,,,,,,de,westdeutschland,saarland,,,,,,
bio-metzgerei-weller,Bio-Metzgerei Weller,Blieskastel,Carne,,"Aßweiler Straße 30, 66440 Blieskastel-Seelbach",Carnicería 100% ecológica con obrador propio en el Bliesgau. Elaboración artesana de embutidos sin fosfatos artificiales con carne bio comarcal.,,+4917632557187,info@bio-metzgerei-weller.de,https://www.bio-metzgerei-weller.de,,,,49.2277962,7.1831395,,,sí,ecommerce,,219,es,,,,,,de,westdeutschland,saarland,,,,,,
bio-muhlenhof-saar,Bio-Mühlenhof-Saar,Rehlingen-Siersburg,Carne,,"Zum Mühlenhof 1, 66701 Rehlingen-Siersburg","Finca agroecológica con ganadería de vacuno extensivo en pastoreo, cría avícola ecológica de carne y huevos frescos con venta directa en granja.",,,,https://shop.bio-muehlenhof-saar.de,,,,49.3686100,6.6786100,,pendiente,sí,ecommerce,,220,es,,,,,,de,westdeutschland,saarland,,,,,,
wackenberger-hof,Wackenberger Hof,Eppelborn,Fruta y verdura,,"Wackenberger Hof 1, 66571 Eppelborn-Wiesbach","Finca ecológica con cultivo propio de hortalizas, patatas tradicionales, legumbres (lentejas saarranas) y cerdos criados al aire libre.",,+491783563235,,https://www.wackenbergerhof.de,,,,49.3813088,6.9881062,,,sí,ecommerce,,2234,es,,,,,,de,westdeutschland,saarland,,,,,,
bioland-gemusebau-leinenbach,Bioland-Gemüsebau Leinenbach,Schwalbach,Fruta y verdura,,"Adenauer Straße 39b, 66773 Schwalbach-Hülzweiler",Explotación hortícola ecológica con huertas al aire libre e invernaderos fríos en Hülzweiler. Cajas de hortalizas bio de temporada de cosecha propia.,,,,https://www.leinenbach-bio.de,,,,49.3176370,6.8073299,,pendiente,no comprobado,,,260,es,,,,,,de,westdeutschland,saarland,,,,,,
demeter-gartnerei-verein-fur-sozialpsychiatrie,Demeter-Gärtnerei Verein für Sozialpsychiatrie,Wallerfangen,Fruta y verdura,,"Schlachthausweg 10a, 66798 Wallerfangen","Huerta e invernaderos biodinámicos con cultivo propio de verduras de hoja, tomates de variedades antiguas, planteles y proyecto de inclusión social.",,+49406517613441,info@vfs-saarlouis.de,https://www.vfs-saarlouis.de,,,,49.3297261,6.7182767,,pendiente,no comprobado,,,767,es,,,,,,de,westdeutschland,saarland,,,,,,
gemusehof-buntes-grun,Gemüsehof Buntes Grün,Wadern,Fruta y verdura,,"Losheimer Straße 19, 66687 Wadern-Nunkirchen",Explotación hortícola agroecológica en Nunkirchen con sistema Solawi y venta directa de verduras frescas cultivadas en sus propias parcelas.,,+4915233730123,info@gemuesehof-buntesgruen.de,https://gemuesehof-buntesgruen.de,,https://www.instagram.com/gemuesehof_buntesgruen/,,49.4899973,6.8339488,,pendiente,sí,ecommerce,,1061,es,,,,,,de,westdeutschland,saarland,,,,,,
pauls-frischekiste-bio-gartnerei-paul,Pauls Frischekiste / Bio-Gärtnerei Paul,Schmelz,Fruta y verdura,,"Am Mühlenberg 15, 66839 Schmelz","Huerta ecológica en el valle del Prims con cultivo propio de hortalizas de temporada, reparto local y tienda de finca.",,,abo@pauls-frischekiste.de,https://pauls-frischekiste.de,,,,49.4407100,6.8579300,,pendiente,sí,ecommerce,,1827,es,,,,,,de,westdeutschland,saarland,,,,,,
wendelinushof,Wendelinushof,St. Wendel,Fruta y verdura,,"Wendelinushof, 66606 St. Wendel","Granja social con amplios campos de cultivo de hortalizas propias, vivero, avicultura campera y tienda de productos Km0 en St. Wendel.",,+496851939870,,https://wendelinushof.de,,,,49.4682711,7.2048495,,pendiente,no comprobado,,,2294,es,,,,,,de,westdeutschland,saarland,,,,,,
erdbeerland-ernst,Erdbeerland Ernst,Heusweiler,Fruta y verdura,,"Saarbrücker Straße 83, 66265 Heusweiler",Explotación agrícola especializada en el cultivo en campos propios de fresas y frutos rojos con recolección directa y puestos de temporada.,,,,https://erdbeerlandernst.de,,,,49.3310769,6.9327029,,pendiente,sí,ecommerce,,870,es,,,,,,de,westdeutschland,saarland,,,,,,
solawi-limbach,Solawi Limbach,Kirkel,Fruta y verdura,,"Ludwigsthaler Str. 32, 66459 Kirkel-Limbach","Granja comunitaria agroecológica en Kirkel con cultivo propio de hortalizas de temporada, cereales, huevos camperos y carne.",,+491571231231566,info@korer-kornspeicher.de,https://solawi.limbach.space,,,,49.3163924,7.2702023,,pendiente,no comprobado,,,2079,es,,,,,,de,westdeutschland,saarland,,,,,,
brennerei-penth,Brennerei Penth,Lebach,Destilados y licores,,"Landsweilerstraße 18, 66822 Lebach","Destilería artesanal con alambiques de cobre propios en Lebach. Destilación propia de aguardientes nobles de frutas locales, ginebra botánica y licores.",,,,https://brennerei-penth.de,,https://www.instagram.com/brennereipenth/,,49.3926033,6.9116845,,pendiente,no comprobado,,,679,es,,,,,,de,westdeutschland,saarland,,,,,,
eckerts-wacholder-brennerei,Eckerts Wacholder Brennerei,Tholey,Destilados y licores,,"Trierer Straße 59, 66636 Tholey","Destilería histórica a los pies del Schaumberg con alambique propio. Especialistas en destilado tradicional de enebro (*Wacholder*), aguardientes y ginebra.",,,,https://www.eckerts.de,,,,49.4840947,7.0369559,,pendiente,sí,ecommerce,,831,es,,,,,,de,westdeutschland,saarland,,,,,,
obstbau-kelterei-wolfgang-schmitt,Obstbau & Kelterei Wolfgang Schmitt,Merzig,Bebidas sin alcohol,,"Torstraße 10, 66663 Merzig-Bietzen",Explotación de frutales en Bietzen con lagar y prensa de fruta propia. Elaboración de zumos naturales de manzana y sidra tradicional de la comarca (*Viez*).,,+49068619393674,info@obstbau-schmitt.de,https://obstbau-schmitt.de,,,,49.4422200,6.6375000,,,no comprobado,,,1793,es,,,,,,de,westdeutschland,saarland,,,,,,
obstbau-baumschule-jacoby,Obstbau & Baumschule Jacoby,Mettlach,Destilados y licores,,"Franz-Altmeyer-Straße 27, 66693 Mettlach-Tünsdorf","Plantaciones de frutales en el Saargau, lagar propio para sidra (*Viez*) y destilería propia de aguardientes de mirabel y manzana.",,,,http://www.obst-jacoby.de,,,,49.4726910,6.4963804,,pendiente,no comprobado,,,1792,es,,,,,,de,westdeutschland,saarland,,,,,,
rimoco-gewurzmanufaktur,Rimoco Gewürzmanufaktur,Saarbrücken,Condimentos,,"Talstraße 48, 66119 Saarbrücken",Manufactura de especias 100% bio en Saarbrücken con molinos propios en taller y mezclas elaboradas a mano sin aditivos ni antiaglomerantes.,,+491786805178,,https://www.rimoco.de,,https://www.instagram.com/rimocogewuerze/,,49.2274977,6.9953358,,pendiente,sí,ecommerce,,1929,es,,,,,,de,westdeutschland,saarland,,,,,,
henry-s-eismanufaktur,Henry's Eismanufaktur,Saarbrücken,Helados,,"Kappenstraße 1, 66111 Saarbrücken",Obrador de helados artesanos en el casco histórico de Saarbrücken con leche fresca de granjas saarranas y fruta natural de temporada.,,+4968193877207,,https://www.henrys-eis.com/de/,https://www.facebook.com/henryseismanufaktur,,,49.2329692,6.9965252,,pendiente,no comprobado,,,1176,es,,,,,,de,westdeutschland,saarland,,,,,,
mali-s-delices,MaLi's Délices,Kleinblittersdorf,Conservas,,"Gut Hartungshof 6, 66271 Kleinblittersdorf-Bliesransbach","Taller artesano de mermeladas, mostazas y chutneys elaborados en caldero de cobre tradicional con frutos del Bliesgau y recetas propias.",,,,https://malis-delices.de,,,,49.1770459,7.0929675,,pendiente,no comprobado,,,1681,es,,,,,,de,westdeutschland,saarland,,,,,,
luxusgut-die-feine-bio-genussmanufaktur,LuxusGut – DIE feine BIO-GenussManufaktur,St. Ingbert,Despensa artesanal,,"Eichendorffstraße 8, 66386 St. Ingbert","Manufaktura ecológica con obrador propio de sales aromatizadas, vinagres de frutas y confituras bio artesanales sin colorantes ni conservantes.",,+4906894888282,info@luxusgut.bio,https://www.luxusgut.bio,,,,49.2721106,7.1190806,,pendiente,sí,ecommerce,,1671,es,,,,,,de,westdeutschland,saarland,,,,,,
italiandelight-pastamanufaktur,italianDelight Pastamanufaktur,Saarbrücken,Otros,,"Mainzer Straße 107, 66121 Saarbrücken","Taller de pasta fresca artesanal en Saarbrücken con maquinaria tradicional italiana, sémola de trigo duro y raviolis rellenos con producto local.",,,,https://www.pastamanufaktur-sb.de,,,,49.2292848,7.0093195,,pendiente,no comprobado,,,1441,es,,,,,,de,westdeutschland,saarland,,,,,,
bliesgau-olmuhle,Bliesgau Ölmühle,Kleinblittersdorf,Aceite,,"Gut Hartungshof 7, 66271 Kleinblittersdorf-Bliesransbach","Almazara artesanal en Gut Hartungshof con prensas de husillo propias en frío. Aceites vírgenes de camelina (*Leindotteröl*), lino y colza bio del Bliesgau.",,,,https://bliesgauoele.de,,,,49.1766098,7.0928653,,pendiente,sí,ecommerce,,297,es,,,,,,de,westdeutschland,saarland,,,,,,
berghof-einod-bliesgau-ol-und-senfmuhle,Berghof Einöd / Bliesgau Öl- und Senfmühle,Homburg,Despensa artesanal,,"Berghof 2, 66424 Homburg-Einöd",Granja ecológica con molino propio de aceites vegetales prensados en frío y mostazas artesanas de grano entero cosechadas en sus tierras.,,+4900003949592,oelmuehle@berghof-einoed.de,https://berghof-einoed.com,,,,49.2846577,7.3457208,,pendiente,no comprobado,,,168,es,,,,,,de,westdeutschland,saarland,,,,,,
nico-s-cafe-eismanufaktur,Nico's Café & Eismanufaktur,Saarbrücken,Helados,,"Dudweiler Markt 2, 66125 Saarbrücken-Dudweiler",Heladería y confitería artesana familiar de 3ª generación con obrador propio de helados italianos clásicos elaborados con leche fresca regional.,,,,,https://www.facebook.com/NicosEismanufaktur,,,49.2333300,7.0000000,,pendiente,no comprobado,,,1778,es,,,,,,de,westdeutschland,saarland,,,,,,
biohonig-wenzel,Biohonig Wenzel,Blieskastel,Miel,,"Aßweiler Straße 32, 66440 Blieskastel-Seelbach",Apicultura ecológica profesional (Bioland) con colmenares trashumantes por el Bliesgau y extracción en frío en obrador propio de mieles monoflorales.,,+496842930341,info@bliesgau-honig.de,https://biohonig-wenzel.de,,,,49.2271460,7.1827532,,,no comprobado,,,254,es,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-wabengold,Imkerei Wabengold,Saarbrücken,Miel,,"Bismarckstraße 70, 66121 Saarbrücken",Explotación apícola urbana y forestal con colmenas en los bosques protegidos de Saarbrücken y envasado en frío propio.,,+4968192799087,honig@imkerei-wabengold.de,https://imkerei-wabengold.de,,,,49.2287969,7.0064417,,pendiente,no comprobado,,,1426,es,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-stadtwabe,Imkerei Stadtwabe,Saarbrücken,Miel,,"Brühlstraße 8a, 66119 Saarbrücken","Apicultura sostenible en el entorno de Saarbrücken con producción propia de miel cruda de flores de tilo, castaño y primavera.",,+4915154968199,,https://www.imkerei-stadtwabe.de,,https://www.instagram.com/imkerei.stadtwabe/,,49.2187614,7.0145227,,pendiente,sí,ecommerce,,1421,es,,,,,,de,westdeutschland,saarland,,,,,,
saarimkerei-gaul,Saarimkerei Gaul,Mandelbachtal,Miel,,"Adenauerstraße 118, 66399 Mandelbachtal-Ormesheim","Apicultura profesional familiar con colmenares propios en el Saarpfalz, producción de mieles varietales, panales en sección (*Wabenhonig*) e hidromiel.",,+4946278199,,https://www.saarimkereigaul.de,,,,49.1971028,7.1464747,,pendiente,sí,ecommerce,,1972,es,,,,,,de,westdeutschland,saarland,,,,,,
waldimkerei-jurgen-manz,Waldimkerei Jürgen Manz,Schwalbach,Miel,,"Weiherstraße 27, 66773 Schwalbach-Griesborn","Explotación apícola artesanal con colmenas en zonas boscosas del Saarland. Extracción en frío de mieles de bosque, flores y crema de miel.",,+4900003085652,,https://www.imkerei-manz.de,,,,49.3066679,6.8138853,,pendiente,no comprobado,,,2240,es,,,,,,de,westdeutschland,saarland,,,,,,
nunkircher-imkerei,Nunkircher Imkerei,Wadern,Miel,,"Saarbrücker Str. 34, 66687 Wadern-Nunkirchen","Apicultura artesana en el Hochwald con producción propia de mieles crudas, vino de miel artesanal (*Met*) y cosmética natural con cera y propóleo propio.",,,,https://www.nunkircher-imkerei.de,,,,49.4812499,6.8383343,,pendiente,no comprobado,,,1788,es,,,,,,de,westdeutschland,saarland,,,,,,
forellenparadies-ottweiler,Forellenparadies Ottweiler,Ottweiler,Pescado,,"Steinbacher Straße, 66564 Ottweiler",Explotación acuícola de estanques de manantial natural en Ottweiler con cría de trucha arcoíris y ahumadero artesanal en madera de haya.,,+491734127493,,https://www.forellenparadies-ottweiler.de,,,,49.4027242,7.1717642,,,no comprobado,,,982,es,,,,,,de,westdeutschland,saarland,,,,,,
infinitesea,InfiniteSea,Völklingen,Pescado,,"August-Clüsserath-Weg 2, 66333 Völklingen",Instalación propia de acuicultura en circuito cerrado para la cría de pescado fresco en Völklingen.,,,,https://infinitesea.net,,,,49.2425053,6.8832686,,pendiente,no comprobado,,,1434,es,,,,,,de,westdeutschland,saarland,,,,,,
havekost-fischfeinkost-raucherei,Havekost Fischfeinkost & Räucherei,Homburg,Pescado,,"Güterbahnhofstraße 4, 66424 Homburg",Elaborador artesanal de pescado con hornos de ahumado tradicionales propios y elaboración de especialidades marinas en Homburg.,,+49068412080,,https://havekost-homburg.de,,,,49.3257869,7.3347232,,,no comprobado,,,1155,es,,,,,,de,westdeutschland,saarland,,,,,,
wintringer-hof-bioland-hof,Wintringer Hof (Bioland-Hof),Kleinblittersdorf,Fruta y verdura,,"Am Wintringer Hof 7, 66271 Kleinblittersdorf",Wintringer Hof (Bioland-Hof) grows and prepares its own fruit and vegetables in Kleinblittersdorf.,,,,https://wintringer-hof.de,,https://www.instagram.com/wintringerhof/,,49.15833,7.03806,,pendiente,no comprobado,,,2383,en,,,,,,de,westdeutschland,saarland,,,,,,
brauhaus-zum-stiefel-stiefel-brau,Brauhaus zum Stiefel (Stiefel Bräu),Saarbrücken,Cerveza,,"Am Stiefel 2, 66111 Saarbrücken",Brauhaus zum Stiefel (Stiefel Bräu) brews its own beer in Saarbrücken.,,,,https://brauhaus-zum-stiefel.de,,https://www.instagram.com/brauhauszumstiefel/,,49.23333,7.00000,,pendiente,no comprobado,,,2384,en,,,,,,de,westdeutschland,saarland,,,,,,
hof-bruck-familie-bruck,Hof Brück (Familie Brück),Lebach,Carne,,"Weidenhofstraße 3, 66822 Lebach (OT Eidenborn)",Hof Brück (Familie Brück) raises or prepares its own meat products in Lebach.,,,,https://www.hofbrueck.de,,https://www.instagram.com/hofbrueck/,,49.41000,6.91000,,pendiente,no comprobado,,,2385,en,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-naturtracht,Imkerei Naturtracht,Neunkirchen,Miel,,"Fernstraße 48, 66538 Neunkirchen",Imkerei Naturtracht produces its own honey in Neunkirchen.,,,,https://naturtracht.de,,https://www.instagram.com/imkerei_naturtracht/,,,,,pendiente,no comprobado,,,2386,en,,,,,,de,westdeutschland,saarland,,,,,,
backerei-konditorei-fetzer,Bäckerei & Konditorei Fetzer,Blieskastel,Pan y cereal,,"Bliesgaustraße 2, 66440 Blieskastel-Biesingen",Bäckerei & Konditorei Fetzer bakes its own bread and cereal products in Blieskastel.,,,,https://www.baeckerei-fetzer.de,,https://www.instagram.com/baeckereikonditoreifetzer/,,49.23727,7.25292,,pendiente,no comprobado,,,2387,en,,,,,,de,westdeutschland,saarland,,,,,,
d-angelo-pasta,D'ANGELO PASTA,Saarwellingen,Pan y cereal,,66793 Saarwellingen,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00 | Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00 | Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00 | Monday,Tuesday,Wednesday,Th",,,https://www.dangelo.de/,,https://www.instagram.com/dangelo_pasta,,49.35417,6.805,,pendiente,sí,ecommerce,,2489,,,,,,,de,westdeutschland,saarland,,,,,,
merziger-niehoffs-vaihinger-fruchtsaft,Merziger / Niehoffs Vaihinger Fruchtsaft,Merzig,Bebidas sin alcohol,,,,,,,https://merziger.de/,,,,,,,pendiente,no comprobado,,,2563,,,,,,,de,westdeutschland,saarland,,,,,,
